山西移动,#genre#
CCTV-1综合, http://183.203.182.117:9616/hls/1/index.m3u8
CCTV-2财经, http://183.203.182.117:9616/hls/2/index.m3u8
CCTV-3综艺, http://183.203.182.117:9616/hls/3/index.m3u8
CCTV-4中文国际, http://183.203.182.117:9616/hls/4/index.m3u8
CCTV-5体育, http://183.203.182.117:9616/hls/5/index.m3u8
CCTV-6电影, http://183.203.182.117:9616/hls/6/index.m3u8
CCTV-7军事农业, http://183.203.182.117:9616/hls/7/index.m3u8
CCTV-8电视剧, http://183.203.182.117:9616/hls/8/index.m3u8
CCTV-9记录, http://183.203.182.117:9616/hls/9/index.m3u8
CCTV-10科教, http://183.203.182.117:9616/hls/10/index.m3u8
CCTV-11戏曲, http://183.203.182.117:9616/hls/11/index.m3u8
CCTV-12社会与法, http://183.203.182.117:9616/hls/12/index.m3u8
CCTV-13新闻, http://183.203.182.117:9616/hls/13/index.m3u8
CCTV-14少儿, http://183.203.182.117:9616/hls/14/index.m3u8
CCTV-15音乐, http://183.203.182.117:9616/hls/15/index.m3u8
北京卫视, http://183.203.182.117:9616/hls/16/index.m3u8
东方卫视, http://183.203.182.117:9616/hls/17/index.m3u8
吉林卫视, http://183.203.182.117:9616/hls/18/index.m3u8
辽宁卫视, http://183.203.182.117:9616/hls/19/index.m3u8
黑龙江卫视, http://183.203.182.117:9616/hls/20/index.m3u8
内蒙古卫视, http://183.203.182.117:9616/hls/21/index.m3u8
河北卫视, http://183.203.182.117:9616/hls/22/index.m3u8
山东卫视, http://183.203.182.117:9616/hls/23/index.m3u8
山西卫视+, http://183.203.182.117:9616/hls/24/index.m3u8
天津卫视, http://183.203.182.117:9616/hls/25/index.m3u8
河南卫视, http://183.203.182.117:9616/hls/26/index.m3u8
安徽卫视, http://183.203.182.117:9616/hls/27/index.m3u8
陕西卫视, http://183.203.182.117:9616/hls/28/index.m3u8
甘肃卫视, http://183.203.182.117:9616/hls/29/index.m3u8
江苏卫视, http://183.203.182.117:9616/hls/30/index.m3u8
浙江卫视, http://183.203.182.117:9616/hls/31/index.m3u8
四川卫视, http://183.203.182.117:9616/hls/32/index.m3u8
青海卫视, http://183.203.182.117:9616/hls/33/index.m3u8
宁夏卫视, http://183.203.182.117:9616/hls/34/index.m3u8
江西卫视, http://183.203.182.117:9616/hls/35/index.m3u8
湖北卫视, http://183.203.182.117:9616/hls/36/index.m3u8
湖南卫视, http://183.203.182.117:9616/hls/37/index.m3u8
东南卫视, http://183.203.182.117:9616/hls/38/index.m3u8
贵州卫视, http://183.203.182.117:9616/hls/39/index.m3u8
广东卫视, http://183.203.182.117:9616/hls/40/index.m3u8


四川电信,#genre#
CCTV-1综合,http://b.xubo.myds.me:9999/rtp/239.93.0.58:5140
