央视频道,#genre#
CCTV1,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000001000004953&livemode=1&stbId=yu&mode=1
CCTV1,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000004000002226&livemode=1&stbId=yu&mode=1
CCTV1,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000010000030810&livemode=1&stbId=yu&mode=1
CCTV1,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000011000265001&livemode=1&stbId=yu&mode=1 
CCTV1,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=2000000002000000052&livemode=1&stbId=yu&mode=1
CCTV1,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=6000000001000029752&livemode=1&stbId=yu&mode=1
CCTV1,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000018602&livemode=1&stbId=yu&mode=1
CCTV1,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000021973&livemode=1&stbId=yu&mode=1
CCTV1,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000005000265001&livemode=1&stbId=yu&mode=1 
CCTV2,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000005000031113&livemode=1&stbId=yu&mode=1
CCTV2,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000011000031101&livemode=1&stbId=yu&mode=1
CCTV2,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=6000000001000014161&livemode=1&stbId=yu&mode=1
CCTV2,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000012442&livemode=1&stbId=yu&mode=1
CCTV2,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000023315&livemode=1&stbId=yu&mode=1
CCTV2,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000005000265002&livemode=1&stbId=yu&mode=1 
CCTV3,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000002000020548&livemode=1&stbId=yu&mode=1
CCTV3,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000004000008883&livemode=1&stbId=yu&mode=1
CCTV3,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000011000265003&livemode=1&stbId=yu&mode=1 
CCTV3,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=6000000001000022313&livemode=1&stbId=yu&mode=1
CCTV3,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000011218&livemode=1&stbId=yu&mode=1
CCTV3,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000013682&livemode=1&stbId=yu&mode=1
CCTV3,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000005000265003&livemode=1&stbId=yu&mode=1 
CCTV4,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000005000030093&livemode=1&stbId=yu&mode=1
CCTV4,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000011000031102&livemode=1&stbId=yu&mode=1
CCTV4,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000011000265004&livemode=1&stbId=yu&mode=1 
CCTV4,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000002000031664&livemode=1&stbId=yu&mode=1
CCTV4,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000005000265004&livemode=1&stbId=yu&mode=1 
CCTV5,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000004000008885&livemode=1&stbId=yu&mode=1
CCTV5,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000010000016619&livemode=1&stbId=yu&mode=1
CCTV5,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000011000265005&livemode=1&stbId=yu&mode=1 
CCTV5,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=6000000001000016431&livemode=1&stbId=yu&mode=1
CCTV5,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000004794&livemode=1&stbId=yu&mode=1
CCTV5,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000003000030177&livemode=1&stbId=yu&mode=1
CCTV5,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000005000025222&livemode=1&stbId=yu&mode=1
CCTV5,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000005000265005&livemode=1&stbId=yu&mode=1 
CCTV6,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000004000008886&livemode=1&stbId=yu&mode=1
CCTV6,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000010000018433&livemode=1&stbId=yu&mode=1
CCTV6,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000011000265006&livemode=1&stbId=yu&mode=1 
CCTV6,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=6000000001000004574&livemode=1&stbId=yu&mode=1
CCTV6,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000001737&livemode=1&stbId=yu&mode=1
CCTV6,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000016466&livemode=1&stbId=yu&mode=1
CCTV6,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000005000265006&livemode=1&stbId=yu&mode=1 
CCTV7,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000005000026715&livemode=1&stbId=yu&mode=1
CCTV7,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000011000031104&livemode=1&stbId=yu&mode=1
CCTV7,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=6000000001000009055&livemode=1&stbId=yu&mode=1
CCTV7,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000017218&livemode=1&stbId=yu&mode=1
CCTV7,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000001000024341&livemode=1&stbId=yu&mode=1
CCTV7,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=1000000005000265007&livemode=1&stbId=yu&mode=1 
CCTV8,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=5000000004000008888&livemode=1&stbId=yu&mode=1
