央视,#genre#
CCTV1,http://[2409:8087:74d8:21::0a]/270000001128/9900000001/index.m3u8?
CCTV2,http://[2409:8087:74d8:21::0a]/270000001128/9900000502/index.m3u8?
CCTV3,http://[2409:8087:74d8:21::0a]/270000001128/9900000003/index.m3u8?
CCTV4,http://[2409:8087:74d8:21::0a]/270000001128/9900000503/index.m3u8?
CCTV5,http://[2409:8087:74d8:21::0a]/270000001128/9900000005/index.m3u8?
CCTV5+,http://[2409:8087:74d8:21::0a]/270000001128/9900000507/index.m3u8?
CCTV6,http://[2409:8087:74d8:21::0a]/270000001128/9900000006/index.m3u8?
CCTV7,http://[2409:8087:74d8:21::0a]/270000001128/9900000504/index.m3u8?
CCTV8,http://[2409:8087:74d8:21::0a]/270000001128/9900000008/index.m3u8?
CCTV9,http://[2409:8087:74d8:21::0a]/270000001128/9900000505/index.m3u8?
CCTV10,http://[2409:8087:74d8:21::0a]/270000001128/9900000506/index.m3u8?
CCTV11,http://[2409:8087:74d8:21::0a]/270000001128/9900000508/index.m3u8?
CCTV12,http://[2409:8087:74d8:21::0a]/270000001128/9900000509/index.m3u8?
CCTV13,http://[2409:8087:74d8:21::0a]/270000001128/9900000510/index.m3u8?
CCTV14,http://[2409:8087:74d8:21::0a]/270000001128/9900000511/index.m3u8?
CCTV15,http://[2409:8087:74d8:21::0a]/270000001128/9900000512/index.m3u8?
CCTV16,http://[2409:8087:74d8:21::0a]/270000001128/9900000016/index.m3u8?
CCTV17,http://[2409:8087:74d8:21::0a]/270000001128/9900000513/index.m3u8?


央视2,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8


央视3,#genre#
CCTV1,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010011/1.m3u8?
CCTV2,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010211/1.m3u8?
CCTV3,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010212/1.m3u8?
CCTV4,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010017/1.m3u8?
CCTV5,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010139/1.m3u8?
CCTV5+,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010202/1.m3u8?
CCTV6,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010214/1.m3u8?
CCTV7,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010215/1.m3u8?
CCTV8,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010216/1.m3u8?
CCTV9,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010052/1.m3u8?
CCTV10,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010203/1.m3u8?
CCTV11,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010092/1.m3u8?
CCTV12,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010205/1.m3u8?
CCTV13,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010093/1.m3u8?
CCTV14,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010207/1.m3u8?
CCTV15,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010094/1.m3u8?
